,단어,품사,점수
10212,조명,N,0
10213,띠다,V,0
10214,만들다,V,0
10215,옮기다,V,0
10216,감사,N,1
10217,보통,N,0
10218,착석,N,0
10219,샐러드,N,0
10220,맛나다,V,2
10221,메뉴,N,0
10222,좌식,N,0
10223,자르다,V,0
10224,제주특별자치도,N,0
10225,주변,N,0
10226,전문가,N,2
10227,구성,N,0
10228,그러다,V,0
10229,마찬가지,N,0
10230,작다,V,0
10231,친절,N,2
10232,많다,V,2
10233,네일,N,0
10234,플러스,N,0
10235,시간,N,0
10236,취소,N,0
10237,정지연,N,0
10238,사거리,N,0
10239,카카오톡,N,0
10240,제주시,N,0
10241,그램,N,0
10242,여부,N,0
10243,하다,V,0
10244,변동,N,0
10245,아라동,N,0
10246,스타,N,0
10247,시간대,N,0
10248,빠르다,V,1
10249,검색,N,0
10250,시청,N,0
10251,제거,N,0
10252,제주,N,0
10253,월랑,N,0
10254,동시,N,0
10255,환불,N,-1
10256,이달,N,0
10257,날짜,N,0
10258,보내다,V,0
10259,계좌,N,0
10260,맞은편,N,0
10261,예약,N,0
10262,불가,N,-2
10263,올리브,N,0
10264,지다,V,0
10265,쇼시,N,0
10266,아트,N,0
10267,시술,N,0
10268,연락처,N,0
10269,본죽,N,0
10270,예쁘다,V,2
10271,주다,V,0
10272,성함,N,0
10273,카톡,N,0
10274,국민,N,0
10275,친구,N,0
10276,받다,V,0
10277,이즈미,N,0
10278,오후,N,0
10279,아이디,N,0
10280,겨울,N,0
10281,디자인,N,0
10282,양식,N,0
10283,크리스마스,N,0
10284,예약금,N,0
10285,글리터,N,0
10286,사진,N,0
10287,당일,N,0
10288,노형동,N,0
10289,담기다,V,0
10290,가능,N,1
10291,많다,V,2
10292,네일,N,0
10293,플러스,N,0
10294,시간,N,0
10295,취소,N,0
10296,정지연,N,0
10297,사거리,N,0
10298,카카오톡,N,0
10299,제주시,N,0
10300,그램,N,0
10301,여부,N,0
10302,하다,V,0
10303,변동,N,0
10304,아라동,N,0
10305,스타,N,0
10306,시간대,N,0
10307,빠르다,V,1
10308,검색,N,0
10309,시청,N,0
10310,제거,N,0
10311,제주,N,0
10312,월랑,N,0
10313,동시,N,0
10314,환불,N,-1
10315,이달,N,0
10316,날짜,N,0
10317,물어뜯다,V,0
10318,보내다,V,0
10319,짧다,V,0
10320,되다,V,0
