,단어,품사,점수
675,시대,N,0
676,대로,N,0
677,더럽다,V,-2
678,연분,N,0
679,낮추다,V,0
680,以上,N,0
681,종단,N,0
682,사욕,N,0
683,어려움,N,-2
684,약하다,V,0
685,다다르다,V,0
686,뒤서다,V,0
687,인솔자,N,0
688,다니,N,0
689,임하다,V,0
690,궁리,N,0
691,화하,N,0
692,전하,N,0
693,물결치다,V,0
694,일평생,N,0
695,신명,N,0
696,업신여기다,V,-2
697,태어나다,V,0
698,화평,N,0
699,태극도,N,0
700,천호동,N,0
701,끊다,V,0
702,금괴,N,0
703,운명,N,2
704,우다,V,0
705,들이다,V,0
706,도통,N,0
707,연관,N,0
708,지나치다,V,-1
709,生角,N,0
710,계속,N,0
711,본질,N,0
712,신문,N,0
713,본성,N,0
714,그해,N,0
715,상해,N,0
716,조판,N,0
717,값있다,V,0
718,주관,N,0
719,유도,N,0
720,번갈다,V,0
721,백성,N,0
722,원리,N,0
723,집안,N,0
724,몰려오다,V,0
725,교설,N,0
726,한정,N,0
727,빈틈,N,0
728,신도,N,0
729,언급,N,0
730,쇠하다,V,0
731,중지,N,0
732,기쁘다,V,2
733,도다,V,0
734,그달,N,0
735,학식,N,0
736,천지,N,0
737,時代,N,0
738,부전선,N,0
739,설계,N,0
740,권하다,V,0
741,억수,N,0
742,지어,N,0
743,원죄,N,0
744,상부상조,N,0
745,매기다,V,0
746,관원,N,0
747,껍질,N,0
748,미리,N,0
749,世界,N,0
750,무느다,V,0
751,버릇,N,0
752,밟다,V,0
753,논란,N,-2
754,살피,N,0
755,심중,N,0
756,가르치다,V,0
757,벗기다,V,0
758,본전,N,0
759,선비,N,0
760,제한,N,-1
761,국민학교,N,0
762,必要,N,0
763,기도,N,0
764,해치다,V,-2
765,헤아리다,V,0
766,막다,V,0
767,군인,N,0
768,스리,N,0
769,아끼다,V,1
770,들어서다,V,0
771,민간,N,0
772,궁구,N,0
773,유선,N,0
774,하나님,N,0
775,바로잡다,V,1
776,감천,N,0
777,형무소,N,0
778,체계,N,0
779,한하다,V,0
780,꺽다,V,0
781,중곡,N,0
782,맡기다,V,0
783,표명,N,0
784,거짓,N,-2
785,쏟아지다,V,0
786,뻗다,V,0
787,직분,N,0
788,파란,N,0
789,감정,N,0
790,설명,N,0
791,죽다,V,-1
792,견학,N,2
793,우거지다,V,0
794,거느리다,V,0
795,원통,N,0
796,달하다,V,0
797,부합,N,2
798,삼가,N,0
799,짐승,N,0
800,안통,N,0
801,대도,N,0
802,대진,N,0
803,실재,N,0
804,병원,N,0
805,불교,N,0
806,동류,N,0
807,분별,N,0
808,진경,N,0
809,실력,N,2
810,드리,N,0
811,가리키다,V,0
812,일률,N,0
813,양육,N,0
814,오행,N,0
815,무고,N,0
816,베다,V,0
817,생사,N,0
818,쓰라리다,V,-1
819,장애,N,0
820,성전,N,0
821,넘어서다,V,1
822,도덕,N,0
823,법도,N,0
824,속이다,V,-1
825,힐난,N,0
826,베풀다,V,2
827,큰일,N,0
828,피서,N,0
829,운반,N,0
830,끝나다,V,0
831,당사자,N,0
832,꺾다,V,0
833,친하다,V,2
834,종사,N,0
835,위협,N,-2
836,위세,N,0
837,치성,N,0
838,즉시,N,0
839,위패,N,0
840,곡식,N,0
841,유감,N,-1
842,부러지다,V,0
843,지탱,N,0
844,포천,N,0
845,영도,N,0
846,신인,N,0
847,묶다,V,0
848,겸손,N,1
849,성심,N,0
850,향하,N,0
851,관계,N,0
852,위하,N,0
853,영남,N,0
854,월급,N,0
855,번식,N,0
856,도수,N,0
857,들어주다,V,0
858,일주일,N,0
859,판명,N,0
860,관례,N,0
861,견디다,V,1
862,슬퍼하다,V,-2
863,겁재,N,0
864,아랫사람,N,0
865,대립,N,0
866,지난날,N,0
867,감방,N,0
868,여주,N,0
869,울음,N,0
870,바르,N,0
871,아니하다,V,-2
872,배웅,N,0
873,줄기,N,0
874,더럽히다,V,-2
875,알리,N,0
876,예절,N,1
877,상제,N,0
878,혈맥,N,0
879,세우,N,0
880,신하,N,0
881,기틀,N,0
882,선감,N,0
883,허물,N,0
884,닿다,V,0
885,발자취,N,0
886,풍작,N,0
887,형국,N,0
888,야영,N,0
889,기질,N,0
890,일으키다,V,0
891,행하다,V,0
892,자신감,N,1
893,운로,N,0
894,깨달다,V,0
895,닮다,V,0
896,대범,N,0
897,교화,N,0
898,원망,N,0
899,의지,N,0
900,물색,N,0
901,段階,N,0
902,위주,N,0
903,시체,N,0
904,밤중,N,0
905,統一,N,0
906,축미,N,0
907,주되다,V,0
908,본받다,V,0
909,논하다,V,0
910,감응,N,0
911,바탕,N,0
912,다투다,V,-1
913,工夫,N,0
914,정산,N,0
915,인세,N,0
916,개똥,N,0
917,실상,N,0
918,접근,N,0
919,주동,N,0
920,축대,N,0
921,수도장,N,0
922,전파,N,0
923,굽히다,V,0
924,걸리,N,0
925,녹봉,N,0
926,요동,N,0
927,찧다,V,0
928,형벌,N,0
929,은총,N,0
930,질서,N,0
931,떨다,V,0
932,포덕,N,0
933,잇닿다,V,0
934,가늠,N,0
935,영대,N,0
936,마음속,N,0
937,서지,N,0
938,둥글다,V,0
939,꺼리,N,0
940,상생,N,0
941,번성,N,0
942,공변되다,V,0
943,대수롭다,V,0
944,고서,N,0
945,없애다,V,-1
946,만인,N,0
947,버리,N,0
948,아무것,N,0
949,종교,N,0
950,간사,N,0
951,봉강,N,0
952,재앙,N,-2
953,무릅쓰다,V,0
954,몰다,V,0
955,근래,N,0
956,의하다,V,0
957,병들다,V,-2
958,가로막다,V,0
959,육군,N,0
960,그늘지다,V,0
961,오로지,N,0
962,선진국,N,0
963,自信,N,0
964,신령,N,0
965,견해,N,0
966,가엽다,V,-1
967,중곡동,N,0
968,떨어뜨리다,V,0
969,장만,N,1
970,자아,N,0
971,적합,N,2
972,터놓다,V,0
973,재능,N,0
974,관장,N,0
975,부르짖다,V,0
976,행하,N,0
977,감내,N,0
978,속박,N,0
979,재물,N,0
980,수련,N,0
981,단나,N,0
982,지장,N,0
983,망리,N,0
984,모방,N,0
985,지위,N,0
986,염두,N,0
987,통하,N,0
988,연줄,N,0
989,수효,N,0
990,비와,N,0
991,세관,N,0
992,벗다,V,0
993,상하,N,0
994,다투,N,0
995,울면,N,0
996,참배,N,0
997,형상,N,0
998,악인,N,0
999,쳐들다,V,0
1000,종파,N,0
1001,천지운기,N,0
1002,빼앗다,V,-1
1003,가리,N,0
1004,공적,N,0
1005,위로,N,0
1006,묻다,V,0
1007,그만두다,V,-1
1008,이론,N,0
1009,現在,N,0
1010,물결,N,0
1011,제기,N,0
1012,한편,N,0
1013,내치,N,0
1014,탐구,N,0
1015,하소연,N,0
1016,늘어나다,V,0
1017,주거,N,0
1018,자산관리,N,0
1019,到着,N,0
1020,到達,N,0
1021,겹치다,V,0
1022,중단,N,-1
1023,감화,N,0
1024,위엄,N,0
1025,선조,N,0
1026,조직,N,0
1027,임한,N,0
1028,선각,N,0
1029,수긍,N,0
1030,금년,N,0
1031,理解,N,0
1032,화하다,V,0
1033,똑같다,V,0
1034,추기,N,0
1035,운기,N,0
1036,준수,N,0
1037,상하다,V,0
1038,포감,N,0
1039,대기,N,0
1040,술책,N,0
1041,기리키다,V,0
1042,내수,N,0
1043,꾀하다,V,0
1044,공물,N,0
1045,사라지,N,0
1046,영험,N,0
1047,공부방,N,0
1048,반대,N,0
1049,끼치다,V,0
1050,사라지다,V,0
1051,하나,N,0
1052,동일,N,0
1053,선령,N,0
1054,별일,N,0
1055,고용,N,0
1056,아버지,N,0
1057,시신,N,0
1058,농사,N,0
1059,어수선,N,0
1060,화합,N,2
1061,내정,N,0
1062,중생,N,0
1063,연하다,V,0
1064,생부,N,0
1065,소식,N,0
1066,기금,N,0
1067,봉급,N,0
1068,판가름,N,0
1069,더하다,V,0
1070,서투르다,V,0
1071,화해,N,0
1072,피하,N,0
1073,가르침,N,0
1074,일컬다,V,0
1075,宗敎,N,0
1076,유공자,N,0
1077,부패,N,0
1078,이어받다,V,0
1079,돌이키다,V,0
1080,헌병,N,0
1081,교감,N,0
1082,국립,N,0
1083,성장,N,2
1084,민족,N,0
1085,고해,N,0
1086,감독,N,0
1087,관습,N,0
1088,고르다,V,0
1089,뱃머리,N,0
1090,규정,N,0
1091,도주,N,0
1092,음양,N,0
1093,입히다,V,0
1094,보이,N,0
1095,유행,N,1
1096,불어,N,0
1097,깨우치다,V,0
1098,귀신,N,0
1099,이치,N,0
1100,파란곡절,N,0
1101,산다,N,0
1102,현혹,N,0
1103,뒤섞이다,V,0
1104,씻다,V,0
1105,事實,N,0
1106,선생,N,0
1107,범하다,V,0
1108,통솔,N,0
1109,괴롭다,V,-2
1110,오랫동안,N,0
1111,끌어들이다,V,0
1112,기세,N,0
1113,입도,N,0
1114,한가,N,2
1115,쫓다,V,0
1116,겨레,N,0
1117,활동력,N,0
1118,공부,N,0
1119,홍보,N,0
1120,過程,N,0
1121,자비심,N,0
1122,과녁,N,0
1123,일컫다,V,0
1124,돈벌이,N,0
1125,토하,N,0
1126,손해,N,-2
1127,받아들이다,V,0
1128,형체,N,0
1129,썬더,N,0
1130,사먹다,V,0
1131,완비,N,0
1132,스크린,N,0
1133,어미,N,0
1134,대형,N,0
1135,다이어트,N,0
1136,축구,N,0
1137,어마,N,0
1138,교환,N,0
1139,이렇다,V,0
1140,추자도,N,0
1141,깨닫다,V,0
1142,서리,N,0
1143,종아리,N,0
1144,바보,N,-1
1145,슬럼프,N,-2
1146,저하,N,0
1147,맴돌다,V,0
1148,최선,N,2
1149,가리다,V,0
1150,생황,N,0
1151,원인,N,0
1152,물놀,N,0
1153,붉다,V,0
1154,문섬,N,0
1155,취득,N,0
1156,정차,N,0
1157,나아지다,V,0
1158,권태,N,0
1159,몸부림,N,0
1160,용품,N,0
1161,조족지혈,N,0
1162,시시각각,N,0
1163,세월,N,0
1164,셔터,N,0
1165,욕실,N,0
1166,이지만,N,0
1167,습관,N,0
1168,파랗다,V,0
1169,메디안,N,0
1170,억새,N,0
1171,회수,N,0
1172,인양,N,0
1173,시달리다,V,0
1174,왼편,N,0
1175,자신,N,0
1176,피다,V,0
1177,이마트,N,0
1178,잊다,V,0
1179,짜증,N,0
1180,라이센스,N,0
1181,이기다,V,0
1182,청소,N,0
1183,방문자,N,0
1184,하룻밤,N,0
1185,서다,V,0
1186,계절,N,0
1187,친정,N,0
1188,무기력감,N,-1
1189,나들이,N,0
1190,생신,N,0
1191,블로거,N,0
1192,농로,N,0
1193,메밀밭,N,0
1194,자동,N,0
1195,교통지옥,N,0
1196,찾아오다,V,0
1197,내림,N,0
1198,가급적,N,0
1199,왼쪽,N,0
1200,우물,N,0
1201,경험담,N,0
1202,순수,N,2
1203,결론,N,0
1204,희소식,N,2
1205,무기력증,N,-2
1206,덥다,V,-1
1207,깔리다,V,0
1208,따름,N,0
1209,단골집,N,0
1210,깔때기,N,0
1211,수단,N,0
1212,불편,N,-2
1213,다이소,N,0
1214,잃다,V,0
1215,방송,N,0
1216,연락,N,0
1217,오가다,V,0
1218,잠수병,N,0
1219,취미,N,0
1220,안부,N,0
1221,심정,N,0
1222,고갈,N,0
1223,잔치,N,2
1224,고마움,N,2
1225,폭염,N,0
1226,간과,N,-1
1227,테우,N,0
1228,천만다행,N,1
1229,도동,N,0
1230,허덕이다,V,0
1231,프라그,N,0
1232,향수병,N,-1
1233,지랑,N,0
1234,장농,N,0
1235,매연,N,0
1236,실망감,N,-2
1237,차단,N,0
1238,쉬엄,N,0
1239,와중,N,0
1240,삭제,N,0
1241,메세지,N,0
1242,수준,N,0
1243,위험,N,-2
1244,귀찮다,V,-2
1245,눈높이,N,0
1246,노력,N,2
1247,과소비,N,-1
1248,회복,N,1
1249,로그인,N,0
1250,드라이브,N,0
1251,바뀌다,V,0
1252,피로감,N,-2
1253,방전,N,-2
1254,소지,N,0
1255,만사,N,0
1256,회의감,N,0
1257,주인,N,0
1258,드물다,V,0
1259,차로,N,0
1260,이슈,N,1
1261,여름,N,0
1262,거위,N,0
1263,앵무새,N,0
1264,개구리,N,0
1265,쪽지,N,0
1266,강남,N,0
1267,이섬,N,0
1268,치약,N,0
1269,기능,N,0
1270,오른쪽,N,0
1271,다이빙,N,0
1272,거북,N,0
