,단어,품사,점수
685,가리,VV,-1
686,감추,VV,-1
687,괴기,NNG,-1
688,구기,VV,-1
689,귀찮,VA,-1
690,깔리,VV,-1
691,걸리,VV,-1
692,넘치,VV,-1
693,떨어뜨리,VV,-1
694,떨어지,VV,-1
695,멍청,XR,-1
696,모자라,VV,-1
697,미치,VV,-1
698,미친,VV+ETM,-1
699,무겁,VV,-1
700,밀리,VV,-1
701,베끼,VV,-1
702,별로,MAG,-1
703,부딪치,VV,-1
704,부딪히,VV,-1
705,사소,XR,-1
706,살찌,VV,-1
707,살찐,VV+ETM,-1
708,떨리,VV,-1
709,슬프,VA,-1
710,쌀쌀,XR,-1
711,예쁘,VA,1
712,어둡,VA,-1
713,어정쩡,XR,-1
714,어지럽,VA,-1
715,요상,XR,-1
716,장난질,NNG,-1
717,저렴,XR,-1
718,조루,NNG,-1
719,코딱지,NNG,-1
720,튀어나오,VV,-1
721,틀리,NNG,-1
722,헤매,VV,-1
723,갈리,VV,-1
724,희미,XR,-1
725,가두,VV,-1
726,가라앉,VV,-1
727,가로막히,VV,-1
728,가로채,VV,-1
729,가쁘,VA,-1
730,가압류,NNG,-1
731,각서,NNG,-1
732,간소,XR,-1
733,갇히,VV,-1
734,갈증,NNG,-1
735,갉아먹,VV,-1
736,감내,NNG,-1
737,설레,VV,2
738,감원,NNG,-1
739,감퇴,NNG,-1
740,갑작,XR,-1
741,강등,NNG,-1
742,강압,NNG,-1
743,강요,NNG,-1
744,강제,NNG,-1
745,강풍,NNG,-1
746,강행군,NNG,-1
747,갸우뚱,MAG,-1
748,거덜,NNG,-1
749,거들뜨,VV,-1
750,거세,VA,-1
751,망설이,VV,-1
752,거스르,VV,-1
753,거짓,NNG,-1
754,거짓말,NNG,-1
755,겁먹,VV,-1
756,결격,NNG,-1
757,결근,NNG,-1
758,결렬,NNG,-1
759,결막염,NNG,-1
760,결손,NNG,-1
761,결식,NNG,-1
762,결식아동,NNG,-1
763,결점,NNG,-1
764,결핍증,NNG,-1
765,결항,NNG,-1
766,결핵균,NNG,-1
767,경련,NNG,-1
768,경미,XR,-1
769,경범죄,NNG,-1
770,경보음,NNG,-1
771,경직,NNG,-1
772,경징계,NNG,-1
773,고꾸라지,VV,-1
774,고단,XR,-1
775,고달프,VA,-1
776,고립화,NNG,-1
777,고물,NNG,-1
778,고물가,NNG,-1
779,고민거리,NNG,-1
780,고소인,NNG,-1
781,고소장,NNG,-1
782,고열,NNG,-1
783,고육책,NNG,-1
784,고의,NNG,-1
785,고착,NNG,-1
786,고초,NNG,-1
787,곤두서,VV,-1
788,곤욕,NNG,-1
789,골치,NNG,-1
790,골칫거리,NNG,-1
791,골칫덩어리,NNG,-1
792,골칫덩이,NNG,-1
793,공격성,NNG,-1
794,공교,XR,-1
795,공멸,NNG,-1
796,공염불,NNG,-1
797,공포감,NNG,-1
798,공허,XR,-1
799,과대평가,NNG,-1
800,과로,NNG,-1
801,과소비,NNG,-1
802,과소평가,NNG,-1
803,과신,NNG,-1
804,과체중,NNG,-1
805,관절염,NNG,-1
806,괜하,VA,-1
807,괴리,NNG,-1
808,괴사,NNG,-1
809,괴소문,NNG,-1
810,괴한,NNG,-1
811,굉음,NNG,-1
812,교묘,XR,-1
813,교살,NNG,-1
814,구류,NNG,-1
815,구박,NNG,-1
816,구설수,NNG,-1
817,구타,NNG,-1
818,구토,NNG,-1
819,굴레,NNG,-1
820,굴욕,NNG,-1
821,굶주리,VV,-1
822,굶주림,NNG,-1
823,궁핍,NNG,-1
824,궤변,NNG,-1
825,규제책,NNG,-1
826,그로기,NNG,-1
827,그만,XR,-1
828,극심,XR,-2
829,근친상간,NNG,-2
830,금지령,NNG,-1
831,급급,XR,-1
832,급습,NNG,-1
833,기겁,NNG,-1
834,기근,NNG,-1
835,기만극,NNG,-1
836,기습,NNG,-1
837,기이,XR,-1
838,기행,NNG,-1
839,까먹,VV,-1
840,까칠,XR,-1
841,깨부수,VV,-1
842,꺽이,VV,-1
843,꼬이,VV,-1
844,꼴찌,NNG,-1
845,꼼수,NNG,-1
846,끼어들,VV,-1
847,낙상,NNG,-1
848,낙오자,NNG,-1
849,낙인찍히,VV,-1
850,낙제,NNG,-1
851,낙제점,NNG,-1
852,난공불락,NNG,-1
853,난동,NNG,-1
854,난립,NNG,-1
855,난사,NNG,-1
856,난색,NNG,-1
857,난쟁이,NNG,-1
858,난제,NNG,-1
859,금지,NNG,-1
860,난치성,NNG,-1
861,날벼락,NNG,-1
862,날치기,NNG,-1
863,낯설,VA,-1
864,내려앉,VV,-1
865,내몰,VV,-1
866,내몰리,VV,-1
867,내뱉,VV,-1
868,내분,NNG,-1
869,내쫓,VV,-1
870,내핍,NNG,-1
871,내환,NNG,-1
872,냉랭,XR,-1
873,냉소,NNG,-1
874,냉엄,XR,-1
875,냉정,NNG,-1
876,널부러지,VV,-1
877,널브러지,VV,-1
878,네거티브,NNG,-1
879,노리개,NNG,-2
880,노림수,NNG,-1
881,노화,NNG,-1
882,녹록,XR,-1
883,녹슬,VV,-1
884,논란,NNG,-1
885,논쟁,NNG,-1
886,놀림감,NNG,-1
887,놀음,NNG,-1
888,뇌사,NNG,-1
889,뇌졸중,NNG,-1
890,뇌종양,NNG,-1
891,뇌출혈,NNG,-1
892,누락,NNG,-1
893,누수,NNG,-1
894,눈물겹,VA,-1
895,눈물바다,NNG,-1
896,눈병,NNG,-1
897,눈엣가시,NNG,-1
898,눈초리,NNG,-1
899,눈총,NNG,-1
900,눈칫밥,NNG,-1
901,느슨,XR,-1
902,늑장,NNG,-1
903,능청,NNG,-1
904,늦장,NNG,-1
905,다투,VV,-1
906,다툼,NNG,-1
907,닥치,VV,-1
908,단전,NNG,-1
909,단절,NNG,-1
910,단정,NNG,-1
911,단종,NNG,-1
912,달동네,NNG,-1
913,담쌓,VV,-1
914,담합,NNG,-1
915,당혹,NNG,-1
916,대마초,NNG,-1
917,망신,NNG,-2
918,대장균,NNG,-1
919,대장암,NNG,-2
920,대지진,NNG,-2
921,폭발,NNG,-2
922,대피,NNG,-1
923,더디,VV,-1
924,더블딥,NNP,-1
925,덜미,NNG,-1
926,도둑,NNG,-1
927,도둑놈,NNG,-1
928,도망가,VV,-1
929,도망,NNG,-1
930,도박장,NNG,-1
931,도사리,VV,-1
932,도외시,NNG,-1
933,도태,NNG,-1
934,도피,NNG,-1
935,독감,NNG,-1
936,독단,NNG,-1
937,독식,NNG,-1
938,독재,NNG,-1
939,독재자,NNG,-1
940,독점권,NNG,-1
941,독점력,NNG,-1
942,독점,NNG,-1
943,돌연사,NNG,-1
944,돌출,NNG,-1
945,동나,VV,-1
946,동떨어지,VA,-1
947,동문서답,NNG,-1
948,되받아치,VV,-1
949,된서리,NNG,-1
950,두려움,NNG,-1
951,두통,NNG,-1
952,둔감,NNG,-1
953,둔갑,NNG,-1
954,둔탁,XR,-1
955,둔화,NNG,-1
956,뒤늦,VA,-1
957,뒤집어쓰,VV,-1
958,처지,NNG,-1
959,뒤쳐지,VV,-1
960,뒤치다꺼리,NNG,-1
961,뒤틀림,NNG,-1
962,뒷걸음,NNG,-1
963,뒷담화,NNG,-1
964,뒷덜미,NNG,-1
965,뒷돈,NNG,-1
966,뒷말,NNG,-1
967,뒷조사,NNG,-1
968,들끓,VV,-1
969,따갑,VA,-1
970,따돌리,VV,-1
971,따분,XR,-1
972,딱딱,XR,-1
973,딴따라,NNG,-1
974,딴죽,NNG,-1
975,떠들,VV,-1
976,떠안,VV,-1
977,떨어트리,VV,-1
978,떠밀리,VV,-1
979,뚱딴지,NNG,-1
980,뜬금없,VA,-1
981,뜬소문,NNG,-1
982,뜯어고치,VV,-1
983,마구잡이,NNG,-1
984,마녀,NNG,-1
985,마이너,NNG,-1
986,막연,XR,-1
987,막일,NNG,-1
988,만성,NNG,-1
989,만취,NNG,-1
990,말단,NNG,-1
991,말라리아,NNG,-1
992,말라붙,VV,-1
993,망가지,VV,-1
994,망가진,VV+ETM,-1
995,병증,NNG,-1
996,망언,NNG,-1
997,맞짱,NNG,-1
998,매몰,NNG,-1
999,매복,NNG,-1
1000,매섭,VA,-1
1001,맴돌,VV,-1
1002,맹독,NNG,-2
1003,맹목,NNG,-2
1004,맹비난,NNG,-2
1005,맹점,NNG,-2
1006,맹추,NNG,-1
1007,맹추위,NNG,-2
1008,머나멀,VA,-1
1009,먹구름,NNG,-1
1010,멀미,NNG,-1
1011,멋쩍,VA,-1
1012,멱살잡이,NNG,-1
1013,면죄부,NNG,-1
1014,면책,NNG,-1
1015,멸종,NNG,-1
1016,모기,NNG,-1
1017,모르,VV,-1
1018,모방,NNG,-1
1019,모순,NNG,-1
1020,모자람,NNG,-1
1021,모함,NNG,-1
1022,모호,XR,-1
1023,목마르,VA,-1
1024,목매,VV,-1
1025,몰아가,VV,-1
1026,몰아내,VV,-1
1027,몰아닥치,VV,-1
1028,몰아붙이,VV,-1
1029,몰카,NNG,-1
1030,못나,VA,-1
1031,무감각,NNG,-1
1032,무고죄,NNG,-1
1033,무급,NNG,-1
1034,무기력,NNG,-1
1035,무너뜨리,VV,-1
1036,무덥,VA,-1
1037,무더위,NNG,-1
1038,무력,NNG,-1
1039,무릅쓰,VV,-1
1040,무마용,NNG,-1
1041,무방비,NNG,-1
1042,무산,NNG,-1
1043,무소식,NNG,-1
1044,무임승차,NNG,-1
1045,무직자,NNG,-1
1046,차별,NNG,-1
1047,묵묵부답,NNG,-1
1048,문맹,NNG,-1
1049,문책,NNG,-1
1050,물고문,NNG,-1
1051,물귀신,NNG,-1
1052,물의,NNG,-1
1053,뭇매,NNG,-1
1054,미납,NNG,-1
1055,미달,NNG,-1
1056,미로,NNG,-1
1057,미미,XR,-1
1058,미봉책,NNG,-1
1059,미비,NNG,-1
1060,미비점,NNG,-1
1061,미상환,NNG,-1
1062,미수금,NNG,-1
1063,미숙아,NNG,-1
1064,미약,XR,-1
1065,미적지근,XR,-1
1066,미정,NNG,-1
1067,미진,XR,-1
1068,미행,NNG,-1
1069,민감,XR,-1
1070,민폐,NNG,-1
1071,밀려나,VV,-1
1072,밀수,NNG,-1
1073,밀어내,VV,-1
1074,밉상,NNG,-1
1075,밋밋,XR,-1
1076,밑돌,VV,-1
1077,바늘구멍,NNG,-1
1078,바닥권,NNG,-1
1079,바닥나,VV,-1
1080,바보,NNG,-1
1081,지키,VV,1
1082,바보짓,NNG,-1
1083,박살,NNG,-1
1084,박탈,NNG,-1
1085,박탈감,NNG,-1
1086,박히,VV,-1
1087,반군,NNG,-1
1088,반목,NNG,-1
1089,반칙,NNG,-1
1090,발가벗,VV,-1
